Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";
"Accessoire musical";;;;;;;;;;"DESC148317";"MT";"";"Standard";"";"";"Musical accessory";"";"-1";
;"Accordeur (accessoire)";;;;;;;;;"DESC819258";"NT";"";"Standard";"";"Test";"";"";"-1";
;"Amplificateur";;;;;;;;;"DESC148318";"NT";"";"Standard";"";"";"Amplifier";"";"-1";
;"Assouplisseur de doigt";;;;;;;;;"DESC138346";"NT";"";"Standard";"";"";"Finger softener";"";"-1";
;"Bâton de mesure";;;;;;;;;"DESC148319";"NT";"";"Standard";"";"";"Baguette (chef d'orchestre);Conductor's baton";"";"-1";
;"Boîtier";;;;;;;;;"DESC148320";"NT";"";"Standard";"";"";"Boîte;Case (boîtier)";"DESC143045";"-1";
;"Bottleneck";;;;;;;;;"DESC982132";"NT";"";"Standard";"";"";"";"";"-1";
;"Capodastre";;;;;;;;;"DESC819255";"NT";"";"Standard";"";"";"";"";"-1";
;"Chirogymnaste";;;;;;;;;"DESC148321";"NT";"";"Standard";"";"";"";"";"-1";
;"Chiroplaste";;;;;;;;;"DESC148322";"NT";"";"Standard";"";"";"Chiroplast";"";"-1";
;"Dactylion";;;;;;;;;"DESC142661";"NT";"";"Standard";"";"";"";"";"-1";
;"Diapason";;;;;;;;;"DESC148324";"NT";"";"Standard";"";"";"Pitch";"";"-1";
;;"Diapason à vent";;;;;;;;"DESC148353";"NT";"";"Standard";"";"";"";"";"-1";
;;"Flûte d'accord";;;;;;;;"DESC148355";"NT";"";"Standard";"";"";"";"";"-1";
;"Ecouvillon";;;;;;;;;"DESC143444";"NT";"";"Standard";"";"";"Brush";"";"-1";
;"Etui";;;;;;;;;"DESC143045";"NT";"";"Standard";"";"";"Case";"DESC148320";"-1";
;;"Etui d'accordéon";;;;;;;;"DESC144929";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui d'alto";;;;;;;;"DESC145666";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de clarinette";;;;;;;;"DESC144960";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de cor";;;;;;;;"DESC144416";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de cornet à pistons";;;;;;;;"DESC143654";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de flûte à bec";;;;;;;;"DESC144949";"NT";"";"Standard";"";"";"Flûte à bec (étui)";"";"-1";
;;"Etui de guitare";;;;;;;;"DESC144379";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de luth";;;;;;;;"DESC144883";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de mandoline";;;;;;;;"DESC148384";"NT";"";"Standard";"";"";"Mandoline (étui)";"";"-1";
;;"Etui de médaille";;;;;;;;"DESC906582";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de saxophone";;;;;;;;"DESC144404";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de théorbe";;;;;;;;"DESC144888";"NT";"";"Standard";"";"";"Chitarrone (étui);Etui de chitarrone;Théorbe (étui)";"";"-1";
;;"Etui de trombone";;;;;;;;"DESC148391";"NT";"";"Standard";"";"";"Trombone (étui)";"";"-1";
;;"Etui de trompette";;;;;;;;"DESC148393";"NT";"";"Standard";"";"";"Trompette (étui)";"";"-1";
;;"Etui de tuba";;;;;;;;"DESC148394";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de violon";;;;;;;;"DESC144479";"NT";"";"Standard";"";"";"";"";"-1";
;;"Etui de violoncelle";;;;;;;;"DESC148397";"NT";"";"Standard";"";"";"";"";"-1";
;"Haut-parleur";;;;;;;;;"DESC148325";"NT";"";"Standard";"";"";"Enceinte;Speaker";"";"-1";
;"Klaxon";;;;;;;;;"DESC136927";"NT";"";"Standard";"";"";"Horn (klaxon)";"";"-1";
;"Maillet";;;;;;;;;"DESC148326";"NT";"";"Standard";"";"";"Drumstick";"";"-1";
;"Mentonnière";;;;;;;;;"DESC148327";"NT";"";"Standard";"";"";"";"";"-1";
;"Métronome";;;;;;;;;"DESC148328";"NT";"";"Standard";"";"";"";"";"-1";
;"Pique (accessoire)";;;;;;;;;"DESC141693";"NT";"";"Standard";"";"";"Endpin";"";"-1";
;;"Pique de violoncelle";;;;;;;;"DESC1101344";"NT";"";"Standard";"";"";"Cello endpin";"";"-1";
;"Plectre";;;;;;;;;"DESC148329";"NT";"";"Standard";"";"";"Médiator;Plectrum";"";"-1";
;"Porte-voix";;;;;;;;;"DESC146245";"NT";"";"Standard";"";"";"Mégaphone;Porte voix";"";"-1";
;"Pupitre";;;;;;;;;"DESC148330";"NT";"";"Standard";"";"";"Rostrum";"";"-1";
;;"Lutrin";;;;;;;;"DESC148421";"NT";"";"Standard";"";"";"";"";"-1";
;"Résonateur";;;;;;;;;"DESC148331";"NT";"";"Standard";"";"";"Resonator";"";"-1";
;"Sourdine";;;;;;;;;"DESC144008";"NT";"";"Standard";"";"";"Mute";"";"-1";
;"Tabouret";;;;;;;;;"DESC148332";"NT";"";"Standard";"";"";"Stool";"";"-1";
;"Vocoder";;;;;;;;;"DESC1092754";"NT";"";"Standard";"";"";"Vocodeur";"";"-1";
"Aire géographique";;;;;;;;;;"DESC1160884";"MT";"";"Standard";"";"";"";"";"-1";
;"Afrique";;;;;;;;;"DESC154021";"NT";"";"Standard";"";"";"Africa";"";"-1";
;;"Afrique australe";;;;;;;;"DESC154025";"NT";"";"Standard";"";"";"Southern Africa";"";"-1";
;;;"Afrique du Sud";;;;;;;"DESC150352";"NT";"";"Standard";"";"";"South Africa";"";"-1";
;;;;"Johannesburg";;;;;;"DESC1034090";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Soweto";;;;;"DESC68484";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Le Cap";;;;;;"DESC150353";"NT";"";"Standard";"";"";"CAPETOWN";"";"-1";
;;;;"Pretoria";;;;;;"DESC150355";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Botswana";;;;;;;"DESC138069";"NT";"";"Standard";"";"";"Bechuanaland";"";"-1";
;;;"Lesotho";;;;;;;"DESC150354";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Malawi";;;;;;;"DESC147932";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Mozambique";;;;;;;"DESC147298";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Namibie";;;;;;;"DESC138065";"NT";"";"Standard";"";"";"Namibia";"";"-1";
;;;"Zambèze";;;;;;;"DESC847200";"NT";"";"Standard";"";"";"Zambezie";"";"-1";
;;;"Zambie";;;;;;;"DESC150359";"NT";"";"Standard";"";"";"Zambia";"";"-1";
;;;"Zimbabwe";;;;;;;"DESC139040";"NT";"";"Standard";"";"";"Rhodésie";"";"-1";
;;"Afrique Centrale";;;;;;;;"DESC154028";"NT";"";"Standard";"";"";"Afrique du centre;Afrique Equatoriale;Central Africa";"";"-1";
;;;"Angola";;;;;;;"DESC149699";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Burundi";;;;;;;"DESC136901";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Cameroun";;;;;;;"DESC150413";"NT";"";"Standard";"";"";"Cameroon";"";"-1";
;;;;"Bafia";;;;;;"DESC138282";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Dibon";;;;;;"DESC816035";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Foumban";;;;;;"DESC846971";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Grassland";;;;;;"DESC1147124";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Mbomou";;;;;;"DESC815624";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Lipia";;;;;"DESC815623";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Monts Mandara";;;;;;"DESC816037";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Nditam";;;;;;"DESC908199";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Yaoundé";;;;;;"DESC150414";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Gabon";;;;;;;"DESC154033";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Boulongo-Boulangani";;;;;;"DESC815932";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Cap Lopez";;;;;;"DESC860292";"NT";"";"Standard";"";"";"Cabo Lopez";"";"-1";
;;;;"Libreville";;;;;;"DESC137932";"NT";"";"Standard";"";"";"Fort d'Aumale (avant 1849)";"";"-1";
;;;"République Centrafricaine";;;;;;;"DESC151511";"NT";"";"Standard";"";"";"Centrafrique;Central African Republic;RCA";"";"-1";
;;;;"Gambo";;;;;;"DESC815625";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Lipia";;;;;;"DESC815623";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Mbomou";;;;;;"DESC815624";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Lipia";;;;;"DESC815623";"NT";"";"Standard";"";"";"";"";"-1";
;;;"République Démocratique du Congo";;;;;;;"DESC137357";"NT";"";"Standard";"";"";"Congo (République Démocratique du);Congo belge;Congo-Kinshasa;R.D.C.;RDC;Zaïre";"";"-1";
;;;;"Aruwimi";;;;;;"DESC1146896";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bas-Uélé";;;;;;"DESC1147073";"NT";"";"Standard";"";"";"Bas-Uele";"";"-1";
;;;;"Haut-Uélé";;;;;;"DESC1146945";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kasaï";;;;;;"DESC857938";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kongo central";;;;;;"DESC1146891";"NT";"";"Standard";"";"";"Bas-Congo";"";"-1";
;;;;"Kongolo";;;;;;"DESC1147083";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kwango";;;;;;"DESC1146880";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Manyanga";;;;;;"DESC862789";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ubangi";;;;;;"DESC1147082";"NT";"";"Standard";"";"";"Oubangui";"";"-1";
;;;;"Uele";;;;;;"DESC815929";"NT";"";"Standard";"";"";"Ouelle";"";"-1";
;;;"République du Congo";;;;;;;"DESC154029";"NT";"";"Standard";"";"";"Congo (République du);Congo français;Congo-Brazzaville;République populaire du Congo";"";"-1";
;;;;"Brazzaville";;;;;;"DESC862731";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Rwanda";;;;;;;"DESC137360";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Tchad";;;;;;;"DESC153255";"NT";"";"Standard";"";"";"CHAD";"";"-1";
;;;;"Fort-Lamy";;;;;;"DESC859537";"NT";"";"Standard";"";"";"";"";"-1";
;;"Afrique Occidentale";;;;;;;;"DESC154039";"NT";"";"Standard";"";"";"Afrique de l'Ouest;West Africa";"";"-1";
;;;"Bénin";;;;;;;"DESC139458";"NT";"";"Standard";"";"";"Dahomey";"";"-1";
;;;;"Abomey";;;;;;"DESC146428";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Porto Novo";;;;;;"DESC143178";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Bissau";;;;;;;"DESC147845";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Burkina-Faso";;;;;;;"DESC145549";"NT";"";"Standard";"";"";"Burkina faso;Burkinafaso;Haute-Volta";"";"-1";
;;;;"Koudougou";;;;;;"DESC859465";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Moaga";;;;;;"DESC145548";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Côte d'Ivoire";;;;;;;"DESC154040";"NT";"";"Standard";"";"";"Ivory Coast";"";"-1";
;;;"Gambie";;;;;;;"DESC142312";"NT";"";"Standard";"";"";"Gambia";"";"-1";
;;;;"Sainte-Marie de Bathurst";;;;;;"DESC816156";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Ghana";;;;;;;"DESC150722";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Accra";;;;;;"DESC150721";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Guinée";;;;;;;"DESC154041";"NT";"";"Standard";"";"";"Guinea";"";"-1";
;;;;"Conakry";;;;;;"DESC1013221";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Guinée-Bissau";;;;;;;"DESC789726";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Liberia";;;;;;;"DESC150424";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Mali";;;;;;;"DESC150900";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bamako";;;;;;"DESC150899";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Duekoue";;;;;;"DESC919890";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Sikasso";;;;;;"DESC873079";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Tombouctou";;;;;;"DESC1034485";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Mauritanie";;;;;;;"DESC149080";"NT";"";"Standard";"";"";"Mauritania";"";"-1";
;;;"Niger";;;;;;;"DESC153943";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Niamey";;;;;;"DESC142195";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Nigeria";;;;;;;"DESC151127";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Lagos";;;;;;"DESC859656";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Port-Harcourt";;;;;;"DESC860425";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Sénégal";;;;;;;"DESC146443";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Carabane";;;;;;"DESC871426";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Casamance";;;;;;"DESC858770";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Dakar";;;;;;"DESC146442";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Toukoufara";;;;;;"DESC859343";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Sénégambie";;;;;;;"DESC816260";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Sierra Leone";;;;;;;"DESC137430";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Togo";;;;;;;"DESC151571";"NT";"";"Standard";"";"";"";"";"-1";
;;"Afrique Orientale";;;;;;;;"DESC146102";"NT";"";"Standard";"Sous cette vedette on trouve les ouvrages qui traitent de la partie de l'Afrique qui s'étend du Soudan au Mozambique. (Source Rameau)";"";"Afrique de l'Est;East Africa";"";"-1";
;;;"Djibouti";;;;;;;"DESC146475";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Erythrée";;;;;;;"DESC889828";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Ethiopie";;;;;;;"DESC154049";"NT";"";"Standard";"";"";"Abyssinie;Ethiopia";"";"-1";
;;;"Kenya";;;;;;;"DESC146101";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Ouganda";;;;;;;"DESC151924";"NT";"";"Standard";"";"";"Uganda";"";"-1";
;;;"Somalie";;;;;;;"DESC991954";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Soudan";;;;;;;"DESC153290";"NT";"";"Standard";"";"";"Sudan";"";"-1";
;;;"Tanzanie";;;;;;;"DESC146097";"NT";"";"Standard";"";"";"Tanzania";"";"-1";
;;;;"Ruvuma";;;;;;"DESC1146838";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Zanzibar";;;;;;;"DESC805509";"NT";"";"Standard";"";"";"";"";"-1";
;;"Egypte";;;;;;;;"DESC154052";"NT";"";"Standard";"";"";"Egypt";"";"-1";
;;;"Alexandrie";;;;;;;"DESC154053";"NT";"";"Standard";"";"";"Alexandria";"";"-1";
;;;"Antinoe";;;;;;;"DESC874709";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Héliopolis";;;;;;;"DESC944123";"NT";"";"Standard";"";"";"Iounou (Ville ancienne);Ounu (Ville ancienne)";"";"-1";
;;;"Le Caire";;;;;;;"DESC154054";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Port-Saïd";;;;;;;"DESC899899";"NT";"";"Standard";"";"";"Port Saïd";"";"-1";
;;"Iles des Comores";;;;;;;;"DESC860262";"NT";"";"Standard";"";"";"Comores (Archipel);Comores (Iles)";"";"-1";
;;"Iles des Seychelles";;;;;;;;"DESC862260";"NT";"";"Standard";"";"";"Seychelles (Iles)";"";"-1";
;;"Iles du Cap-Vert";;;;;;;;"DESC154022";"NT";"";"Standard";"";"";"Cape Verde;Cap-vert (Iles)";"";"-1";
;;"Maghreb";;;;;;;;"DESC149078";"NT";"";"Standard";"";"";"Afrique du Nord;Grand Maghreb;North Africa";"";"-1";
;;;"Algérie";;;;;;;"DESC154060";"NT";"";"Standard";"";"";"Algeria";"";"-1";
;;;;"Alger";;;;;;"DESC140889";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bechar";;;;;;"DESC149216";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Bou Saada";;;;;;"DESC146449";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Constantine";;;;;;"DESC901344";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Kabylie";;;;;;"DESC138313";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Oran";;;;;;"DESC146440";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Tlemcen";;;;;;"DESC137693";"NT";"";"Standard";"";"";"Tilimsen";"";"-1";
;;;"Libye";;;;;;;"DESC149079";"NT";"";"Standard";"";"";"Libya";"";"-1";
;;;"Maroc";;;;;;;"DESC154063";"NT";"";"Standard";"";"";"Morocco";"";"-1";
;;;;"Atlas (Maroc)";;;;;;"DESC149107";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Essaouira";;;;;;"DESC1162869";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Fès";;;;;;"DESC153516";"NT";"";"Standard";"";"";"Fez";"";"-1";
;;;;"Haut-Atlas";;;;;;"DESC67279";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ichebakenne";;;;;;"DESC141634";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Marrakech";;;;;;"DESC151250";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Rabat";;;;;;"DESC901351";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Salé";;;;;;"DESC1162894";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Mauritanie";;;;;;;"DESC149080";"NT";"";"Standard";"";"";"Mauritania";"";"-1";
;;;"Tunisie";;;;;;;"DESC154069";"NT";"";"Standard";"";"";"Tunesia";"";"-1";
;;;;"Sfax";;;;;;"DESC846756";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Tunis";;;;;;"DESC901348";"NT";"";"Standard";"";"";"";"";"-1";
;;"Océan Indien";;;;;;;;"DESC816016";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Ile Maurice";;;;;;;"DESC138241";"NT";"";"Standard";"";"";"Maurice (Ile)";"";"-1";
;;;"Iles Cocos";;;;;;;"DESC1116020";"NT";"";"Standard";"";"";"Iles Keeling";"";"-1";
;;;"Iles des Seychelles";;;;;;;"DESC862260";"NT";"";"Standard";"";"";"Seychelles (Iles)";"";"-1";
;;;"La Réunion (région et département)";;;;;;;"DESC151342";"NT";"";"Standard";"";"";"Ile de la Réunion;Réunion (Ile de la)";"";"-1";
;;;"Madagascar";;;;;;;"DESC146456";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Antananarivo";;;;;;"DESC146455";"NT";"";"Standard";"";"";"Tananarive";"";"-1";
;;;;"Nossi Comba";;;;;;"DESC866415";"NT";"";"Standard";"";"";"";"";"-1";
;;"Sao Tomé-et-Principe";;;;;;;;"DESC1044617";"NT";"";"Standard";"";"";"";"";"-1";
;"Amérique";;;;;;;;;"DESC144397";"NT";"";"Standard";"";"";"America";"";"-1";
;;"Amérique du Nord";;;;;;;;"DESC144396";"NT";"";"Standard";"";"";"North America";"";"-1";
;;;"Amérique Centrale";;;;;;;"DESC150729";"NT";"";"Standard";"";"";"Central America";"";"-1";
;;;;"Belize";;;;;;"DESC153966";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Costa Rica";;;;;;"DESC153967";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Guatemala";;;;;;"DESC153523";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Chichicastenango";;;;;"DESC1047700";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Honduras";;;;;;"DESC68150";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Nicaragua";;;;;;"DESC153470";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Panama";;;;;;"DESC150728";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Salvador";;;;;;"DESC153503";"NT";"";"Standard";"";"";"EL SALVADOR";"";"-1";
;;;"Antilles";;;;;;;"DESC153969";"NT";"";"Standard";"";"";"CARAIBES;WEST INDIES";"";"-1";
;;;;"Barbade (La)";;;;;;"DESC153970";"NT";"";"Standard";"";"";"La Barbade";"";"-1";
;;;;"Cuba";;;;;;"DESC136713";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"La Havane";;;;;"DESC155339";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Curaçao";;;;;;"DESC153971";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Grandes Antilles";;;;;;"DESC895189";"NT";"";"Standard";"";"";"Greater Antilles";"";"-1";
;;;;"Guadeloupe";;;;;;"DESC148845";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Le Gosier";;;;;"DESC1144575";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Haïti";;;;;;"DESC153972";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Jamaïque";;;;;;"DESC136899";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Marie-Galante";;;;;;"DESC923520";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Martinique";;;;;;"DESC136960";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Fort-de-France";;;;;"DESC1166869";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Montserrat";;;;;;"DESC1075062";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Petites Antilles";;;;;;"DESC895188";"NT";"";"Standard";"";"";"Lesser Antilles";"";"-1";
;;;;"Porto-Rico";;;;;;"DESC136741";"NT";"";"Standard";"";"";"PORTO RICO;PUERTO RICO";"";"-1";
;;;;"République dominicaine";;;;;;"DESC153208";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Sainte-Lucie";;;;;;"DESC146988";"NT";"";"Standard";"";"";"SAINTE LUCIE";"";"-1";
;;;;"Trinidad et Tobago";;;;;;"DESC146105";"NT";"";"Standard";"";"";"Trinité et Tobago";"";"-1";
;;;;;"Port of Spain";;;;;"DESC1002853";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Canada";;;;;;;"DESC144410";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Colombie-Britannique";;;;;;"DESC816054";"NT";"";"Standard";"";"";"BRITISH COLUMBIA";"";"-1";
;;;;;"Haïda Gwaïi";;;;;"DESC816055";"NT";"";"Standard";"";"";"Iles de la Reine Charlotte";"";"-1";
;;;;"Manitoba";;;;;;"DESC878987";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Winnipeg";;;;;"DESC878988";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Nouvelle Ecosse";;;;;;"DESC733385";"NT";"";"Standard";"";"";"NOVA SCOTIA";"";"-1";
;;;;;"Ile de Cape Breton";;;;;"DESC1129767";"NT";"";"Standard";"";"";"Cape Breton Island;Unama'ki";"";"-1";
;;;;"Nunavut";;;;;;"DESC1017737";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Ile de Baffin";;;;;"DESC1017738";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ottawa";;;;;;"DESC144412";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Québec (Province)";;;;;;"DESC153695";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Jonquières";;;;;"DESC1020853";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Laval (Canada)";;;;;"DESC1020874";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Montréal (Canada)";;;;;"DESC152081";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Nunavik";;;;;"DESC1165962";"NT";"";"Standard";"";"";"Nouveau-Québec";"";"-1";
;;;;;"Québec (ville)";;;;;"DESC153701";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Saint-Hyacinthe";;;;;"DESC153703";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Saskatchewan";;;;;;"DESC1131586";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Toronto";;;;;;"DESC144413";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Vancouver";;;;;;"DESC140717";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Yellowknife";;;;;;"DESC144414";"NT";"";"Standard";"";"";"";"";"-1";
;;;"Etats-Unis";;;;;;;"DESC147356";"NT";"";"Standard";"";"";"United States of America;USA";"";"-1";
;;;;"Alabama";;;;;;"DESC1016866";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Alaska";;;;;;"DESC147358";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Ile Kodiak";;;;;"DESC870742";"NT";"";"Standard";"";"";"Kodiak (Ile)";"";"-1";
;;;;"Albuquerque";;;;;;"DESC147359";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Altoona";;;;;;"DESC147362";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Alva";;;;;;"DESC147363";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Ann Arbor";;;;;;"DESC138587";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Appalaches";;;;;;"DESC147364";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Arizona";;;;;;"DESC991679";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Asheville";;;;;;"DESC147365";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Atlanta";;;;;;"DESC140785";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Atlantic City";;;;;;"DESC147366";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Baltimore";;;;;;"DESC147367";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Boston";;;;;;"DESC147352";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Buffalo";;;;;;"DESC147373";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Californie";;;;;;"DESC147374";"NT";"";"Standard";"";"";"California";"";"-1";
;;;;;"Los Angeles";;;;;"DESC147418";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;;"Hollywood";;;;"DESC68499";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"San Jose";;;;;"DESC1115852";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Santa Barbara";;;;;"DESC1122867";"NT";"";"Standard";"";"";"";"";"-1";
;;;;;"Sepulveda";;;;;"DESC1149093";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Caroline du Nord";;;;;;"DESC147375";"NT";"";"Standard";"";"";"North Carolina";"";"-1";
;;;;"Chatham";;;;;;"DESC147378";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Chestertown";;;;;;"DESC147379";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Chicago";;;;;;"DESC147380";"NT";"";"Standard";"";"";"";"";"-1";
;;;;"Cincinnati";;;;;;"DESC147381";"NT";"";"Standard";"";"";"";"";"-1";
